"zip","lat","lon","city","abr","county","type"
22205,38.88,-77.14,"ARLINGTON","VA","ARLINGTON","STANDARD"
22206,38.84,-77.09,"ARLINGTON","VA","ARLINGTON","STANDARD"
22207,38.91,-77.12,"ARLINGTON","VA","ARLINGTON","STANDARD"
22209,38.89,-77.11,"ARLINGTON","VA","ARLINGTON","STANDARD"
22210,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","STANDARD"
22211,38.88,-77.08,"FT MYER","VA","ARLINGTON","STANDARD"
22212,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22213,38.89,-77.16,"ARLINGTON","VA","ARLINGTON","STANDARD"
22214,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","STANDARD"
22215,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","STANDARD"
22216,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","STANDARD"
22217,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22218,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22219,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","STANDARD"
22222,38.86,-77.05,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22223,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22225,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22226,38.88,-77.1,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22227,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22229,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22230,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22234,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22240,38.86,-77.05,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22241,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22242,38.85,-77.05,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22243,38.86,-77.05,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22244,38.85,-77.05,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22245,38.85,-77.05,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22246,38.88,-77.11,"ARLINGTON","VA","ARLINGTON","UNIQUE"
22301,38.82,-77.08,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22302,38.83,-77.09,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22303,38.79,-77.08,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22304,38.82,-77.11,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22305,38.84,-77.06,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22306,38.76,-77.09,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22307,38.77,-77.07,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22308,38.73,-77.06,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22309,38.72,-77.17,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22310,38.78,-77.12,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22311,38.83,-77.12,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22312,38.8,-77.15,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22313,38.82,-77.09,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22314,38.81,-77.06,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22315,38.76,-77.15,"ALEXANDRIA","VA","FAIRFAX","STANDARD"
22320,38.8,-77.05,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22321,38.83,-77.29,"ALEXANDRIA","VA","FAIRFAX","UNIQUE"
22331,38.8,-77.07,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22332,38.8,-77.07,"ALEXANDRIA","VA","ALEXANDRIA CITY","STANDARD"
22333,38.82,-77.09,"ALEXANDRIA","VA","ALEXANDRIA CITY","UNIQUE"
22334,38.82,-77.09,"ALEXANDRIA","VA","ALEXANDRIA CITY","UNIQUE"
22336,38.82,-77.09,"ALEXANDRIA","VA","ALEXANDRIA CITY","UNIQUE"
22401,38.3,-77.48,"FREDERICKSBURG","VA","FREDERICKSBURG CITY","STANDARD"
22402,38.3,-77.49,"FREDERICKSBURG","VA","FREDERICKSBURG CITY","STANDARD"
22403,38.42,-77.46,"FREDERICKSBURG","VA","STAFFORD","STANDARD"
22404,38.3,-77.49,"FREDERICKSBURG","VA","FREDERICKSBURG CITY","STANDARD"
22405,38.34,-77.44,"FREDERICKSBURG","VA","STAFFORD","STANDARD"
22406,38.41,-77.53,"FREDERICKSBURG","VA","STAFFORD","STANDARD"
22407,38.27,-77.61,"FREDERICKSBURG","VA","SPOTSYLVANIA","STANDARD"
22408,38.23,-77.56,"FREDERICKSBURG","VA","SPOTSYLVANIA","STANDARD"
22412,38.18,-77.66,"FREDERICKSBURG","VA","SPOTSYLVANIA","UNIQUE"
22427,38.01,-77.26,"BOWLING GREEN","VA","CAROLINE","STANDARD"
22428,38.01,-77.36,"BOWLING GREEN","VA","CAROLINE","UNIQUE"
22430,38.39,-77.37,"BROOKE","VA","STAFFORD","PO BOX ONLY"
22432,37.84,-76.35,"BURGESS","VA","NORTHUMBERLAND","STANDARD"
22433,38.34,-77.87,"BURR HILL","VA","ORANGE","STANDARD"
22435,37.96,-76.58,"CALLAO","VA","NORTHUMBERLAND","STANDARD"
22436,38.02,-77.04,"CARET","VA","ESSEX","STANDARD"
22437,37.82,-76.79,"CENTER CROSS","VA","ESSEX","STANDARD"
22438,38.06,-77.02,"CHAMPLAIN","VA","ESSEX","STANDARD"
22442,38.12,-76.79,"COLES POINT","VA","WESTMORELAND","PO BOX ONLY"
22443,38.18,-76.82,"COLONIAL BEACH","VA","WESTMORELAND","STANDARD"
22446,38.17,-77.41,"CORBIN","VA","CAROLINE","PO BOX ONLY"
22448,38.33,-77.04,"DAHLGREN","VA","KING GEORGE","STANDARD"
22451,38.27,-77.17,"DOGUE","VA","KING GEORGE","PO BOX ONLY"
22454,37.85,-76.85,"DUNNSVILLE","VA","ESSEX","STANDARD"
22456,37.85,-76.41,"EDWARDSVILLE","VA","NORTHUMBERLAND","PO BOX ONLY"
22460,37.88,-76.6,"FARNHAM","VA","RICHMOND","STANDARD"
22463,38.47,-77.46,"GARRISONVILLE","VA","STAFFORD","PO BOX ONLY"
22469,38.06,-76.68,"HAGUE","VA","WESTMORELAND","STANDARD"
22471,38.4,-77.58,"HARTWOOD","VA","STAFFORD","PO BOX ONLY"
22472,37.95,-76.64,"HAYNESVILLE","VA","RICHMOND","PO BOX ONLY"
22473,37.88,-76.43,"HEATHSVILLE","VA","NORTHUMBERLAND","STANDARD"
22476,38.03,-77.06,"HUSTLE","VA","ESSEX","STANDARD"
